Gene,Population 1,Population 2,Normalized lineage score,Significant guides,Total guides,,,,,,,,,,,,,,,,,,,,
Ythdc1,GMP,LSKd7,-0.767622913,1,3,,,,,,,,,,,,,,,,,,,,
Gtf3a,GMP,LSKd7,-0.844046608,1,3,,,,,,,,,,,,,,,,,,,,
Tonsl,GMP,LSKd7,-1.083811406,1,3,,,,,,,,,,,,,,,,,,,,
Med27,GMP,LSKd7,-1.084180447,1,3,,,,,,,,,,,,,,,,,,,,
Kdm3b,GMP,LSKd7,-1.28817438,1,3,,,,,,,,,,,,,,,,,,,,
Ncoa5,GMP,LSKd7,-1.346626964,1,3,,,,,,,,,,,,,,,,,,,,
Kat5,GMP,LSKd7,-1.385256442,1,3,,,,,,,,,,,,,,,,,,,,
Ncapg,GMP,LSKd7,-1.396344706,1,3,,,,,,,,,,,,,,,,,,,,
Npm1,GMP,LSKd7,-1.440308014,1,3,,,,,,,,,,,,,,,,,,,,
Med10,GMP,LSKd7,-1.473130945,1,3,,,,,,,,,,,,,,,,,,,,
Kansl1,GMP,LSKd7,-1.496148448,1,3,,,,,,,,,,,,,,,,,,,,
Brd4,GMP,LSKd7,-1.540843651,1,3,,,,,,,,,,,,,,,,,,,,
Med18,GMP,LSKd7,-1.557478177,1,3,,,,,,,,,,,,,,,,,,,,
Sp140,GMP,LSKd7,-1.575531223,1,3,,,,,,,,,,,,,,,,,,,,
Ncaph2,GMP,LSKd7,-1.618557313,1,3,,,,,,,,,,,,,,,,,,,,
Med29,GMP,LSKd7,-1.623123858,1,3,,,,,,,,,,,,,,,,,,,,
L3mbtl3,GMP,LSKd7,-1.811265979,1,3,,,,,,,,,,,,,,,,,,,,
Med6,GMP,LSKd7,-1.819536746,1,3,,,,,,,,,,,,,,,,,,,,
Med13,GMP,LSKd7,-1.925247816,1,3,,,,,,,,,,,,,,,,,,,,
Rnf20,GMP,LSKd7,-2.12461885,1,3,,,,,,,,,,,,,,,,,,,,
Nudt21,GMP,LSKd7,-2.305469416,1,3,,,,,,,,,,,,,,,,,,,,
Med17,GMP,LSKd7,-2.349344976,1,3,,,,,,,,,,,,,,,,,,,,
Kti12,GMP,LSKd7,-2.352587293,1,3,,,,,,,,,,,,,,,,,,,,
Med9,GMP,LSKd7,-2.511478303,1,3,,,,,,,,,,,,,,,,,,,,
Med26,GMP,LSKd7,-2.568448562,1,3,,,,,,,,,,,,,,,,,,,,
Rybp,GMP,LSKd7,-2.662286724,1,3,,,,,,,,,,,,,,,,,,,,
Med1,GMP,LSKd7,-2.780364889,1,3,,,,,,,,,,,,,,,,,,,,
Tada1,GMP,LSKd7,-2.947485789,1,3,,,,,,,,,,,,,,,,,,,,
Med4,GMP,LSKd7,-3.198240965,1,3,,,,,,,,,,,,,,,,,,,,
Mau2,GMP,LSKd7,-3.498139043,1,3,,,,,,,,,,,,,,,,,,,,
Med7,GMP,LSKd7,-3.943052015,1,3,,,,,,,,,,,,,,,,,,,,
Supt16,GMP,LSKd7,2.783850849,0,3,,,,,,,,,,,,,,,,,,,,
Suz12,GMP,LSKd7,2.170777377,0,3,,,,,,,,,,,,,,,,,,,,
Cit,GMP,LSKd7,2.005963849,0,3,,,,,,,,,,,,,,,,,,,,
Dhx36,GMP,LSKd7,1.995575245,0,3,,,,,,,,,,,,,,,,,,,,
Cdk5,GMP,LSKd7,1.894391653,0,3,,,,,,,,,,,,,,,,,,,,
Usp11,GMP,LSKd7,1.873936363,0,3,,,,,,,,,,,,,,,,,,,,
Ctbp1,GMP,LSKd7,1.85312452,0,3,,,,,,,,,,,,,,,,,,,,
Mbd6,GMP,LSKd7,1.840991499,0,3,,,,,,,,,,,,,,,,,,,,
Phf14,GMP,LSKd7,1.815291499,0,3,,,,,,,,,,,,,,,,,,,,
Ube2d3,GMP,LSKd7,1.811433975,0,3,,,,,,,,,,,,,,,,,,,,
Asxl2,GMP,LSKd7,1.751639361,0,3,,,,,,,,,,,,,,,,,,,,
Prkag2,GMP,LSKd7,1.722097572,0,3,,,,,,,,,,,,,,,,,,,,
Ncl,GMP,LSKd7,1.721193641,0,3,,,,,,,,,,,,,,,,,,,,
Smyd4,GMP,LSKd7,1.616021344,0,3,,,,,,,,,,,,,,,,,,,,
Mbd4,GMP,LSKd7,1.609798586,0,3,,,,,,,,,,,,,,,,,,,,
Esco1,GMP,LSKd7,1.599261963,0,3,,,,,,,,,,,,,,,,,,,,
Eya4,GMP,LSKd7,1.563750466,0,3,,,,,,,,,,,,,,,,,,,,
Mettl16,GMP,LSKd7,1.535834666,0,3,,,,,,,,,,,,,,,,,,,,
Rnf8,GMP,LSKd7,1.503250601,0,3,,,,,,,,,,,,,,,,,,,,
Ube2b,GMP,LSKd7,1.491951594,0,3,,,,,,,,,,,,,,,,,,,,
Morf4l1,GMP,LSKd7,1.461504469,0,3,,,,,,,,,,,,,,,,,,,,
Pcgf6,GMP,LSKd7,1.436530816,0,3,,,,,,,,,,,,,,,,,,,,
Atrx,GMP,LSKd7,1.434291976,0,3,,,,,,,,,,,,,,,,,,,,
Senp1,GMP,LSKd7,1.380581513,0,3,,,,,,,,,,,,,,,,,,,,
Wapal,GMP,LSKd7,1.373542593,0,3,,,,,,,,,,,,,,,,,,,,
Sin3a,GMP,LSKd7,1.366281204,0,3,,,,,,,,,,,,,,,,,,,,
Ino80e,GMP,LSKd7,1.364263743,0,3,,,,,,,,,,,,,,,,,,,,
Hdac11,GMP,LSKd7,1.362795008,0,3,,,,,,,,,,,,,,,,,,,,
Mecp2,GMP,LSKd7,1.355035742,0,3,,,,,,,,,,,,,,,,,,,,
Sf3b1,GMP,LSKd7,1.333419925,0,3,,,,,,,,,,,,,,,,,,,,
Tex10,GMP,LSKd7,1.331240219,0,3,,,,,,,,,,,,,,,,,,,,
Mettl23,GMP,LSKd7,1.315258038,0,3,,,,,,,,,,,,,,,,,,,,
Pole3,GMP,LSKd7,1.282177976,0,3,,,,,,,,,,,,,,,,,,,,
Sap18,GMP,LSKd7,1.269911242,0,3,,,,,,,,,,,,,,,,,,,,
Stk4,GMP,LSKd7,1.263751593,0,3,,,,,,,,,,,,,,,,,,,,
Mettl14,GMP,LSKd7,1.231946514,0,3,,,,,,,,,,,,,,,,,,,,
Foxp2,GMP,LSKd7,1.22742191,0,3,,,,,,,,,,,,,,,,,,,,
Maml2,GMP,LSKd7,1.185141292,0,3,,,,,,,,,,,,,,,,,,,,
Zmym2,GMP,LSKd7,1.184287531,0,3,,,,,,,,,,,,,,,,,,,,
Sf3b3,GMP,LSKd7,1.180192544,0,3,,,,,,,,,,,,,,,,,,,,
Prdm10,GMP,LSKd7,1.164036573,0,3,,,,,,,,,,,,,,,,,,,,
Dot1l,GMP,LSKd7,1.1463859,0,3,,,,,,,,,,,,,,,,,,,,
Hdac8,GMP,LSKd7,1.142579035,0,3,,,,,,,,,,,,,,,,,,,,
Ing3,GMP,LSKd7,1.139656578,0,3,,,,,,,,,,,,,,,,,,,,
